Id;Titulo;Consola;America;Europa;Japon;Otro
1276;Board Game Classics;GameBoy Advance;2,73;1,85;2,59;2,93
1277;Voodoo Vince;XBox;2,14;2,59;1,94;0,19
1278;Brain Quest: Grades 3 & 4;Nintendo DS;0,28;2,52;1;2,51
1279;Hannah Montana: Spotlight World Tour;Nintendo Wii;2,08;1,82;2,21;1,51
1280;SpongeBob SquarePants: Creature from the Krusty Krab;GameBoy Color;2,09;0,08;2,74;1,97
1281;The Granstream Saga;PlayStation;1,88;1,73;0,06;1,44
1282;Codename: Kids Next Door: Operation V.I.D.E.O.G.A.M.E.;GameBoy Color;2,52;0,09;2,43;1,74
1283;Mini-Yonku GB: Let's & Go!!;GameBoy;2,64;0,23;2,3;1,19
1284;Prisoner of War;XBox;1,88;2,95;1,7;0,31
1285;Nishijin Pachinko Monogatari 2;Super Nintendo;1,72;1,96;3,37;1,31
1286;Surf's Up;Nintendo Wii;3,11;2,32;2,6;2,59
1287;Kensei: Sacred Fist;PlayStation;2,25;1,64;0,53;0,96
1288;Victorious: Hollywood Arts Debut;Nintendo DS;0,42;3,1;1,85;1,94
1289;Angry Birds Star Wars;Nintendo Wii;2,53;2,4;2,22;1,61
1290;SeaWorld Adventure Parks: Shamu's Deep Sea Adventure;XBox;2,67;1,62;2,48;0,36
1291;Missile Command;Atari 2600;1,63;1,28;0,84;0,93
1292;Death Trap;Atari 2600;2,28;1,19;0,49;0,16
1293;Need for Speed Underground 2;XBox;1,43;2,2;2,17;0,01
1294;Future Tactics: The Uprising;GameBoy Color;2,74;0,13;2,9;2,56
1295;Metroid Prime 2: Echoes;GameBoy Color;2,14;0,08;2,45;2,2
1296;Shonen Jump's One Piece: Grand Battle;GameBoy Color;3,39;0,19;2,39;2,13
1297;Yu-Gi-Oh! The Eternal Duelist Soul (JP sales);GameBoy Advance;0,83;2,52;2,43;1,35
1298;Toukiden 2;PlayStation 4;1,86;2,08;1,42;1,9
1299;Scooby-Doo! Night of 100 Frights;GameBoy Color;2,38;0,63;1,7;1,68
1300;Bloody Roar Extreme;XBox;2,61;1,32;1,36;0,03
1301;Dynasty Warriors 8: Xtreme Legends;PlayStation 4;2,45;1,75;2,04;1,97
1302;Pachi-Slot Aruze Oukoku 2;PlayStation;2,11;2,19;0,79;1,71
1303;Power Rangers: Wild Force;GameBoy Advance;2,07;2,22;2,45;2,6
1304;Hotel Giant DS;Nintendo DS;0,17;2,48;2,19;2,5
1305;Marvel Super Heroes vs. Street Fighter;PlayStation;1,66;2,56;0,82;1,96
1306;Flushed Away;GameBoy Color;2,49;0,09;2,34;2,99
1307;Ganbare Goemon: Toukai Douchuu Ooedo Tengurigaeshi no Maki;Nintendo DS;0,17;2,83;1,74;1,29
1308;Naruto Shippuden: Naruto vs. Sasuke;Nintendo DS;0,05;2,6;1,76;1,98
1309;The Crew: Wild Run;XBox One;0,21;1,78;3,06;2,77
1310;F-14 Tomcat;GameBoy Advance;2,16;1,87;1,9;2,21
1311;Duel Masters: Shadow of the Code;GameBoy Advance;2;1,76;1,95;1,71
1312;NOëL: NOT DiGITAL;PlayStation;2,04;2,21;0,22;2,19
1313;NHL 2005;GameBoy Color;3,27;0,05;1,57;2,26
1314;Decathlete;Sega Saturn;2,29;1,82;2,02;0,02
1315;Digimon World;PlayStation;2,58;2,25;0,29;1,58
1316;Ballblazer Champions;PlayStation;0,93;2,17;0,01;2,35
1317;SafeCracker: The Ultimate Puzzle Adventure;Nintendo DS;0,16;1,9;2,54;2,3
1318;Yu-Gi-Oh! 5D's World Championship 2011: Over the Nexus;Nintendo DS;0,7;2,32;1,99;1,81
1319;Michael Jackson: The Experience;Nintendo Wii;1,96;1,61;2,13;2,38
1320;Block Kuzushi;Super Nintendo;0,95;2,33;3,45;0,9
1321;The Penguins of Madagascar: Dr. Blowhole Returns - Again!;Nintendo Wii;2,33;2,88;2,26;1,75
1322;Pop'n Music;Nintendo Wii;1,88;1,91;1,99;1,77
1323;Monster Truck Madness 64;Nintendo 64;3,12;2,98;3,37;3,23
1324;Wheel of Fortune;PlayStation;2,04;1,92;0,24;2,32
1325;Super Soccer;Super Nintendo;2,41;2,03;3,06;1,31
1326;FIFA Soccer 2002;GameBoy Color;1,83;0,43;2,1;2,23
1327;Bottom of the 9th '99;PlayStation;2,22;1,65;0,72;1,99
1328;Carmen Sandiego: The Secret of the Stolen Drums;XBox;2,16;2,21;1,29;0,13
1329;Famicom Mini: Star Soldier;GameBoy Advance;2,27;1,48;1,97;1,86
1330;Skylanders Giants;XBox 360;2,19;2,35;2,17;2,61
1331;Avatar: The Last Airbender;GameBoy Color;2,7;0,01;1,78;2,52
1332;Skylanders SWAP Force;XBox One;0,04;2,15;2,19;2,27
1333;Dance Dance Revolution: Mario Mix;GameBoy Color;1,65;0,2;1,99;2,73
1334;Worms Blast;GameBoy Color;2,32;0,12;2,53;2,89
1335;TMNT: Mutant Melee;GameBoy Color;1,38;0,23;1,47;1,96
1336;Mafia;XBox;1,91;1,46;1,5;0,21
1337;Jet Force Gemini;Nintendo 64;2,74;3,16;3,2;3,58
1338;007: The World is not Enough;Nintendo 64;3,69;3,4;3,46;2,68
1339;Dead Space;XBox 360;1,12;2,6;2,92;2,11
1340;RalliSport Challenge(JP sales);XBox;1,56;1,85;2,57;0,07
1341;NBA 2K14;XBox One;0,62;2,07;2,16;2,07
1342;Spartan: Total Warrior;XBox;2,02;2,75;2,49;0,51
1343;Otogi 2: Immortal Warriors;XBox;2,28;2,14;1,73;0,26
1344;Pokemon Mystery Dungeon: Explorers of Time/Explorers of Darkness;Nintendo DS;0,01;1,6;1,43;2,92
1345;Dragon Ball GT: Game Boy Advance Video Volume 1;GameBoy Advance;2,16;2,8;2,27;1,72
1346;Arctic Thunder;XBox;2,19;2,07;2,06;0,27
1347;James Bond 007: Nightfire;GameBoy Color;2,27;0,09;2,45;1,62
1348;Hellboy: The Science of Evil;XBox 360;2,29;1,79;3,06;2,24
1349;007: Tomorrow Never Dies;PlayStation;1,37;1,8;0,63;2,65
1350;Hooked! Real Motion Fishing;Nintendo Wii;2,5;2,02;2,17;1,75
1351;Spider-Man 3;XBox 360;1,67;2,34;2,17;2,22
1352;Spin Jam;PlayStation;1,45;2,06;0,06;1,1
1353;Rune Factory 2: A Fantasy Harvest Moon;Nintendo DS;0,22;0,54;2,4;3,04
1354;Cartoon Network Block Party / Cartoon Network Speedway Double Pack;GameBoy Advance;1,17;1,43;2,24;2,12
1355;Jikkyou Powerful Pro Yakyuu 10;GameBoy Color;2,21;0,01;2,16;2,33
1356;Irritating Stick;PlayStation;1,63;2,43;0,23;2
1357;Godzilla: Destroy All Monsters Melee;GameBoy Color;2,16;0,07;2,04;2,27
1358;NBA 2K7;XBox;2,13;2,79;1,65;0,12
1359;NCAA Football 98;PlayStation;2,62;1,56;0,43;3,08
1360;Nobunaga no Yabou: Haouden;Super Nintendo;1,74;2,26;3,31;1,27
1361;RoadKill;XBox;2,89;2,86;1,85;0,09
1362;Silent Hill;PlayStation;2,12;1,98;0,4;2,32
1363;Myst III: Exile;XBox;2,2;3,23;1,61;0,33
1364;Odama;GameBoy Color;1,8;0,15;1,87;1,44
1365;FIFA Soccer 2004;GameBoy Color;2,11;0,51;2,38;2,29
1366;We Ski & Snowboard;Nintendo Wii;2,14;2,95;1,79;2,96
1367;FIFA 2001 Major League Soccer;PlayStation;2,11;2,3;0,05;2,08
1368;The Legend of Zelda: Four Swords Adventures;GameBoy Color;2,58;0,28;1,86;2,23
1369;Super Bomberman 2;Super Nintendo;2,14;1,31;3,47;1,53
1370;Petz: Catz 2;Nintendo DS;0,38;1,62;2,41;2,07
1371;Monster Guardians;GameBoy Advance;1,6;1,73;2,59;1,93
1372;Mobile Suit Gundam: Giren no Yabou- Zeon no Keifu;PlayStation;2,33;2,51;0,06;2,24
1373;Half-Life 2;XBox;2,71;0,44;1,75;0,15
1374;Charlie's Angels;GameBoy Color;1,98;0,3;1,53;2,32
1375;Kirby's Dream Land 2;GameBoy;2,29;0,34;2,04;0,34
1376;Namco Museum Vol.4;PlayStation;2,89;2,76;0,47;1,38
1377;Robin Hood: Defender of the Crown;XBox;1,62;1,71;1,79;0,08
1378;DeathSmiles II;XBox 360;1,75;2,95;2,04;3,2
1379;World of Dragon Warrior - Torneko: The Last Hope;PlayStation;2,69;2,15;0,09;1,91
1380;Rayman 3;GameBoy Advance;3,25;2,84;1,95;2,66
1381;Zone of the Enders: The Fist of Mars;GameBoy Advance;1,69;2,3;2,24;1,99
1382;Barbie Super Sports;PlayStation;1,97;1,85;0,32;1,62
1383;Quake;Nintendo 64;3,56;3,22;3,71;2,72
1384;Dig Dug;Nintendo;3,56;2,76;0,09;0,05
1385;Pe-Jongju to Manabu Kankokugo DS: Test-Hen;Nintendo DS;0,45;1,66;3,21;2,74
1386;X-Men: Mutant Academy 2;PlayStation;2,4;2,65;0,11;3,05
1387;Kirby 64: The Crystal Shards;Nintendo 64;3,23;3,84;3,01;4
1388;A. IV Evolution: A Ressha de Ikou 4;PlayStation;2,83;1,41;0,48;3,35
1389;Shadow The Hedgehog;XBox;1,9;2,44;2,11;0,12
1390;Thoroughbred Breeder II;Super Nintendo;2,47;1,44;3,53;0,98
1391;Final Fantasy VI;PlayStation;2,66;1,95;0,02;1,89
1392;Nicola Kanshuu: Model * Oshare Audition;Nintendo DS;0,68;2,03;1,22;1,63
1393;Bionicle;GameBoy Advance;1,79;1,4;1,61;2,43
1394;Jinsei Game DS;Nintendo DS;0,06;2,16;2,66;1,86
1395;Brain Boost: Beta Wave;Nintendo DS;0,46;3,03;2,17;2,2
1396;Dragon Warrior III;GameBoy;1,8;0,04;2,69;0,13
1397;Brothers In Arms: Road to Hill 30;XBox;3,14;1,67;3;0,04
1398;Resident Evil 6;PlayStation 4;2,57;2,78;2,22;1,73
1399;Gauntlet Legends;Nintendo 64;3,45;3,17;3,31;2,94
1400;Chessmaster;GameBoy Advance;2,33;2,22;2,8;1,3
1401;Itadaki Street 2: Neon Sign wa Bara Iro ni;Super Nintendo;1,66;2,42;3,32;0,32
1402;Mahjong;Nintendo;3,31;3,71;0,14;0,39
1403;Zoop;PlayStation;2,27;1,87;0,55;1,61
1404;Terraria;XBox One;0,42;2,79;2,07;2,16
1405;The King of Fighters 02/03;XBox;1,71;2,45;2,15;1,13
1406;Games Explosion!;GameBoy Advance;2,48;2,05;1,98;2,11
1407;Sniper Elite 3;PlayStation 4;2;1,71;2,15;2,41
1408;ESPN International Winter Sports 2002;GameBoy Color;2,1;0,8;2,17;1,84
1409;Dragon's Dogma Online;PlayStation 4;1,75;1,99;1,49;2,38
1410;Aidyn Chronicles: The First Mage;Nintendo 64;3,41;3,69;3,17;2,72
1411;Backyard Wrestling 2: There Goes the Neighborhood;XBox;0,86;2,38;2,19;0,22
1412;Hysteria Hospital: Emergency Ward;Nintendo DS;0,54;1,99;2,1;2,01
1413;futureU: The Prep Game for SAT;Nintendo DS;0,63;1,7;2,06;2,2
1414;Casper: Spirit Dimensions;GameBoy Color;2,05;0,01;2,33;2,44
1415;Madden NFL 99;Nintendo 64;4,38;3,11;3,56;2,35
1416;Army Men: Air Combat;Nintendo 64;3,8;2,51;3,64;3,17
1417;Harry Potter and the Goblet of Fire;GameBoy Color;2,24;0,35;2,03;2
1418;Monster High: New Ghoul in School;Nintendo Wii;2,65;2,87;2,75;2,69
1419;Mario Party 9;Nintendo Wii;1,77;2,1;2,24;2,18
1420;Langrisser IV;Sega Saturn;1,36;2,22;2;0,07
1421;Cruis'n;Nintendo Wii;1,43;2,15;3,22;2,31
1422;F1 2016 (Codemasters);XBox One;0,38;1,56;2,88;1,49
1423;Jikkyou Powerful Pro Yakyuu 12 Ketteiban;GameBoy Color;2,77;0,06;2,67;1,67
1424;Hooked! Again: Real Motion Fishing;Nintendo Wii;1,76;2,43;2,55;1,99
1425;Ed, Edd n Eddy: The Mis-Edventures;GameBoy Advance;2,65;2,23;3,23;1,71
1426;FIFA 15;Nintendo Wii;2,01;2,6;1,37;2,01
1427;SoulCalibur;Sega Dreamcast;0,94;0,57;1,6;0,77
1428;Kidou Senkan Nadesico;Sega Saturn;1,71;2,18;2,3;0,02
1429;ATV/Monster Truck Mayhem;Nintendo DS;0,04;1,37;2,48;3,82
1430;Red Faction: Armageddon;XBox 360;1,72;2,42;2,59;2,23
1431;Bust-A-Move '99;PlayStation;1,98;2,69;0,36;2,54
1432;MySims;Nintendo Wii;2,18;2,65;1,58;3,35
1433;Just Cause 3;PlayStation 4;2,34;2,76;1,97;0,54
1434;Final Fantasy I & II;Nintendo;3,66;3,32;0,19;0,05
1435;Q*bert;Atari 2600;2,07;0,8;0,52;0,72
1436;Metal Max Returns;Super Nintendo;2,41;2,16;3,15;1,02
1437;Wasteland 2;PlayStation 4;3,21;1,64;1,69;2,44
1438;SaGa Frontier;PlayStation;1,5;1,65;1,28;1,87
1439;Tak and the Power of Juju;GameBoy Color;1,22;0,01;1,87;1,25
1440;Mesaze!! Tsuri Master: Sekai ni Challenge! Hen;Nintendo Wii;1,64;3,13;2,03;1,7
1441;NBA Jam 99;Nintendo 64;3,01;3,31;3,04;3,94
1442;Madden NFL 06;XBox;2,09;1,64;2,97;0,06
1443;Sleeping Dogs;PlayStation 4;1,15;1,76;2,05;2,05
1444;Jewel Legends: Tree of Life;Nintendo DS;0,07;1,95;2,65;1,59
1445;Pokemon Box: Ruby & Sapphire;GameBoy Color;1,62;0,21;2,53;2,13
1446;Shin Megami Tensei;PlayStation;2,31;2,13;0,13;2,11
1447;The Dukes of Hazzard: Racing for Home;PlayStation;2,3;1,88;0,53;2,03
1448;Virtual Soccer;Super Nintendo;2,18;1,73;2,99;1,48
1449;Final Fantasy II;Super Nintendo;1,64;1,75;3,48;0,86
1450;MXGP 2;XBox One;0,08;1,89;2,63;2,46
1451;Metroid II: Return of Samus;GameBoy;2,06;0,03;2,22;0,08
1452;American Bass Challenge;GameBoy Advance;1,43;2,25;3;2,01
1453;Mega Man X2;Super Nintendo;1,96;1,84;3,58;1,86
1454;The Typing of the Dead;Sega Dreamcast;0,9;0,99;1,3;0,62
1455;Triple Play 2001;PlayStation;2,64;2,29;0,17;1,29
1456;FabStyle;Nintendo DS;1,11;1,65;1,43;1,82
1457;Shin Momotarou Densetsu;Super Nintendo;1,98;2,14;3,56;1,18
1458;Yu-Gi-Oh! The Sacred Cards;GameBoy Advance;2,76;1,56;2,57;1,72
1459;Midnight Magic;Atari 2600;1,87;0,69;0,87;0,75
1460;LEGO Bionicle;GameBoy Advance;2,11;1,92;2,1;2,27
1461;NBA Jam;Super Nintendo;1,77;1,97;3,38;0,97
1462;Mouse Trap;Atari 2600;2,53;1,2;1,06;0,84
1463;Assassin's Creed Chronicles;XBox One;0,09;2,46;2,34;2,33
1464;Real Bout Garou Densetsu;Sega Saturn;2,16;2,47;2,52;0,66
1465;Marvel vs. Capcom: Clash of Super Heroes;Sega Dreamcast;1,29;1,08;1,54;1
1466;Shining Force III: Scenario 2;Sega Saturn;1,82;1,41;2,39;0,01
1467;Looney Tunes: Acme Arsenal;Nintendo Wii;1,9;3,3;1,29;2,21
1468;Hogan's Alley;Nintendo;2,89;3,24;0,13;0,03
1469;Assault;Atari 2600;2,01;0,65;0,49;0,86
1470;NCAA Final Four 2000;PlayStation;2,64;1,11;0,32;1,95
1471;Nuclear Strike 64;Nintendo 64;3,03;3;2,88;3,27
1472;LEGO Star Wars II: The Original Trilogy;GameBoy Color;1,63;0,4;2,45;1,57
1473;Homefront: The Revolution;XBox One;0,06;3,11;2,26;1,5
1474;NBA Live 2002;PlayStation;1,61;1,67;0,26;2,95
1475;Disney's Chicken Little;XBox;1,7;2,39;0,61;0,07
1476;Road Trip: Shifting Gears;GameBoy Advance;1,72;1,27;2,67;1,49
1477;The Crew: Wild Run;PlayStation 4;2,05;2,47;1,7;1,69
1478;Call of Duty: Black Ops 3;XBox 360;1,46;2,27;2,92;1,74
1479;NCIS;Nintendo Wii;1,87;2,68;1,66;2,36
1480;Dragon Quest IV: Chapters of the Chosen;Nintendo DS;0,04;2,36;1,06;1,75
1481;Madden NFL 2004;GameBoy Color;2,02;0,1;2,91;2,5
1482;Joust;Atari 2600;1,84;0,94;0,93;0,58
1483;Battlestar Galactica;XBox;1,49;1,93;2,33;0,11
1484;Dead or Alive 5;XBox One;0,17;2,71;2,42;2,34
1485;Pole Position;Atari 2600;1,35;0,7;0,92;0,31
1486;Tanjou S Debut;Sega Saturn;2,47;2,28;1,91;0,05
1487;Call of Duty: World at War;XBox 360;1,45;1,81;1,21;2,77
1488;Super Mario Bros. 2;Nintendo;3,81;3,32;0,03;0,3
1489;Just Dance 2016;XBox One;0,01;1,72;1,63;1,85
1490;Gladius;XBox;2,17;1,96;1,82;0,04
1491;Space Invaders;Nintendo 64;3,44;3,34;3,39;3,58
1492;Toy Soldiers: War Chest;XBox One;0,13;2,56;2,46;2,51
1493;Luigi's Mansion;GameBoy Color;2,42;0,17;1,92;2,11
1494;Outlaw Golf;XBox;3,25;2,28;2,96;0,32
1495;Fire Emblem: Monsh? no Nazo;Super Nintendo;2,13;1,58;3,54;0,65
1496;Donkey Kong Country;GameBoy;2,04;0,28;2,03;0,35
1497;Song of the Deep;PlayStation 4;2,55;1,37;1,56;1,98
1498;NBA 2K17;XBox One;0,1;2,33;2,53;2,04
1499;Harvest Moon 64;Nintendo 64;3,31;3,24;3,06;3,28
1500;LEGO Star Wars III: The Clone Wars;Nintendo Wii;2,73;2,5;2,4;2,16
1501;Lost Odyssey;XBox 360;2,26;2,05;2,68;1,95
1502;Destiny: The Taken King;XBox 360;3,19;1,76;1,9;2,9
1503;Army of Two;XBox 360;2,53;2,79;1,45;3,17
1504;NFL 2K3;XBox;2,38;1,91;1,16;0,11
1505;ISS Pro Evolution;PlayStation;2,78;2,19;0,5;2,52
1506;Metroid Prime;GameBoy Color;1,23;0,37;2,99;2,66
1507;Avatar: The Last Airbender;Nintendo Wii;2,52;2,51;2,33;2,41
1508;Myst IV: Revelation;XBox;2,03;2,39;1,43;0,62
1509;Wario World;GameBoy Color;2,61;0,25;1,34;2,66
1510;DX Game of Life 2;PlayStation;1,3;1,6;0,49;1,78
1511;Minna ga Shuyaku no NHK Kouhaku Quiz Kassen;Nintendo Wii;2,49;2,47;1,57;1,41
1512;Dragon Ball Z: Chou Saiya Densetsu;Super Nintendo;2,23;1,36;3,72;1,48
1513;Fantastic 4;GameBoy Color;2,31;0,24;2,21;3,37
1514;Black/Matrix;Sega Saturn;2,4;1,72;2,16;0,01
1515;Tenchu: Stealth Assassins;PlayStation;1,96;1,68;0,45;1,88
1516;NHL 2K9;XBox 360;1,77;2,8;1,83;1,87
1517;Legend of Kay;Nintendo DS;0,04;2,28;2,57;1,81
1518;Catwoman;GameBoy Color;1,81;0,09;2,51;1,96
1519;Big Air Freestyle;GameBoy Color;2,46;0,18;1,87;2,38
1520;FIFA World Cup Germany 2006;GameBoy Color;2,48;0,41;1,67;2,67
1521;Project: Snowblind;XBox;2,48;1,68;2,25;0,14
1522;Petz: Dogz Pack;Nintendo DS;0,12;1,51;1,85;1,88
1523;Pet Pals: New Leash on Life;Nintendo DS;0,21;1,57;1,24;2,79
1524;Defender;GameBoy Color;2,75;0,2;1,76;2,66
1525;Dark Souls;XBox 360;1,49;2,58;0,72;2,52
1526;Olympic Soccer: Atlanta 1996;PlayStation;1,41;3,1;0,1;2,89
1527;Yu-Gi-Oh! Destiny Board Traveler;GameBoy Advance;1,48;2,53;1,93;1,99
1528;WWE Raw 2;XBox;1,02;1,79;1,75;0,14
1529;Medal of Honor: European Assault;XBox;2,33;3,09;2,37;0,07
1530;GT64 Championship Edition;Nintendo 64;3,02;3,23;3,55;2,65
1531;Sailor Moon;Super Nintendo;1,49;1,42;3,95;1,6
1532;Baldur's Gate: Dark Alliance;XBox;1,52;2,15;1,73;0,15
1533;Turok: Rage Wars;Nintendo 64;3,06;3,87;3,33;3,34
1534;Intellivision Lives!;XBox;2,69;2,02;2,51;0,4
1535;Sword Art Online: Lost Song;PlayStation 4;2,12;1,83;0,65;2,59
1536;Final Fantasy Legend III;GameBoy;2,37;0,09;2,02;0,17
1537;Flushed Away;Nintendo DS;0,06;2,21;2,73;2,4
1538;Virtua Cop 2;Sega Saturn;1,52;2,06;1,97;0,43
1539;Wheel of Fortune;Nintendo 64;2,83;3,36;3,62;3,51
1540;Rio;Nintendo DS;0,03;2,59;1,66;3,28
1541;Onechanbara: Bikini Zombie Slayers;Nintendo Wii;2,55;2,68;2,49;1,29
1542;Off-World Interceptor Extreme;PlayStation;1,78;2,26;0,06;2,2
1543;Hitman (2016);PlayStation 4;2,92;2,91;1,48;1,75
1544;Dark Souls II;XBox One;0,02;2,9;1,9;2,5
1545;Samurai Warriors;XBox;1,48;1,3;2,12;0,12
1546;Petz Rescue: Wildlife Vet;Nintendo DS;0,28;2,31;2,41;1,99
1547;Phoenix;Atari 2600;2,01;1,26;1,13;1,16
1548;Attack on Titan (KOEI);PlayStation 4;2,33;1,79;1,47;2,03
1549;American Chopper 2: Full Throttle;XBox;2,61;2,05;0,9;0,14
1550;Drift King Shutokou Battle '94;Super Nintendo;2,17;1,26;3,49;0,83
1551;Panzer Dragoon Orta;XBox;2,73;2,47;1,96;0,06
1552;Mia Hamm Soccer 64;Nintendo 64;3,74;3,36;2,88;3
1553;Einhänder;PlayStation;2,29;1,93;0,26;1,68
1554;Power Stone;Sega Dreamcast;1,02;0,7;2,13;1,18
1555;Sloane to MacHale no Nazo no Monogatari 2;Nintendo DS;0,08;2,49;1,52;2,19
1556;Marvel vs. Capcom 2: New Age of Heroes;Sega Dreamcast;1;1,17;1,42;0,54
1557;The Lord of the Rings: The Return of the King;GameBoy Color;1,71;0,25;2,35;2,68
1558;Pro Pinball;PlayStation;2,1;2,04;0,01;2,02
1559;Mighty No. 9;PlayStation 4;1,78;2,43;2,02;3,05
1560;Bomberman 64;Nintendo 64;3,51;3,44;3,75;4,03
1561;DriveClub;PlayStation 4;1,82;2,37;1,55;2,06
1562;Big Mutha Truckers;GameBoy Color;2,27;0,14;1,72;1,64
1563;Doraemon;Nintendo;3,04;3,91;0,33;0,08
1564;Major League Baseball 2K9;XBox 360;2,29;2,43;2,33;2,76
1565;Warpath: Jurassic Park;PlayStation;1,6;1,54;0,51;1,69
1566;Phantom Dust;XBox;2;2,33;1,59;0,08
1567;Madden NFL 2002;Nintendo 64;3,56;4,04;3,6;3,82
1568;Thoroughbred Breeder II Plus;PlayStation;2,88;3,61;0,35;1,95
1569;BioShock The Collection;XBox One;0,05;1,78;2,49;2,14
1570;NASCAR 99;Nintendo 64;3,26;3,92;3,61;2,99
1571;Wetrix;Nintendo 64;3,36;3,46;3,94;3,56
1572;Mega Man X4;PlayStation;1,42;1,81;0,01;1,93
1573;Andretti Racing;PlayStation;2,09;2,35;0,28;1,78
1574;Final Fantasy V;Super Nintendo;2,64;1,19;2,71;0,97
1575;Star Wars: Shadows of the Empire;Nintendo 64;4,04;3,72;3,14;3,58
1576;NBA 2K;Sega Dreamcast;1,22;0,81;1,95;0,47
1577;MLB Front Office Manager;XBox 360;2,4;1,42;2;1,71
1578;Cars;GameBoy Color;1,71;0,09;2,34;2,14
1579;Alien;Atari 2600;1,75;1,05;0,82;0,57
1580;Donkey Kong Junior;Atari 2600;2,41;1,32;0,99;0,92
1581;Apocalypse;PlayStation;2,99;2,03;0,72;1,81
1582;Mission: Impossible;Nintendo 64;3,52;3,57;3,97;3,09
1583;Battleborn;PlayStation 4;1,66;2,02;1,5;1,85
1584;Checkers;Atari 2600;1,83;1,1;0,42;0,61
1585;World Stadium 5;PlayStation;1,99;1,68;0,11;3,27
1586;Star Wars Trilogy: Apprentice of the Force;GameBoy Advance;2,46;2,39;1,47;1,98
1587;Paws & Claws: Pet Vet 2;Nintendo DS;0,12;2,04;2,9;2,13
1588;Petz: Horsez 2;Nintendo Wii;1,94;3,23;2,05;2,98
1589;Entaku no Seito: Students of Round;XBox 360;2,06;1,86;2,17;2,17
1590;Virtua Fighter CG Portrait Series Vol.5: Wolf Hawkfield;Sega Saturn;1,78;1,77;2,03;0,01
1591;Enemy Front;XBox 360;2,53;1,87;2,5;2,44
1592;Are You Smarter Than A 5th Grader?;Nintendo DS;0,11;2,82;2,11;1,18
1593;Teenage Mutant Ninja Turtles III: The Manhattan Project;Nintendo;3,22;4,29;0,03;0,38
1594;Madden NFL 09 All-Play;Nintendo Wii;1,19;3,12;2,02;1,32
1595;Super Mario World;GameBoy Advance;2,15;2,89;2,79;2,78
1596;The LEGO Movie Videogame;PlayStation 4;1,72;2;1,65;2,69
1597;Wario Land II;GameBoy;1,48;0,07;2,31;0,24
1598;Rock Band Country Track Pack;XBox 360;2,15;2,28;2,2;2,98
1599;Tom Clancy's Rainbow Six 3;GameBoy Color;2,48;0,67;1,6;1,86
1600;Balloon Fight;Nintendo;3,44;3,23;0,05;0,02
1601;God Eater 2: Rage Burst;PlayStation 4;1,79;1,15;0,86;3,11
1602;Kirby's Adventure;Nintendo;3,67;3,1;0,11;0,17
1603;Dance Dance Revolution Ultramix;XBox;2,16;1,3;2,06;0,18
1604;Pikmin;GameBoy Color;1,88;0,08;2,18;2,91
1605;Dai-4-Ji Super Robot Taisen S;PlayStation;2,1;3,02;0,08;2,54
1606;Madden NFL 25;XBox One;0,05;2,22;2,52;2,05
1607;Xevious;Nintendo;2,29;3,39;0,01;0,01
1608;Major League Baseball Featuring Ken Griffey Jr;Nintendo 64;3,53;3,36;3,02;3,46
1609;Dead or Alive Xtreme 3: Fortune;PlayStation 4;1,87;2,7;1,95;1,87
1610;Spider-Man: Battle for New York;Nintendo DS;0,17;1,98;2,83;1,55
1611;International Soccer;Atari 2600;0,97;1,37;0,92;0,51
1612;NFL Xtreme 2;PlayStation;2,38;1,91;0,17;1,57
1613;Harukanaru Toki no Naka de: Yumenoukihashi;Nintendo DS;0,34;1,44;1,85;1,83
1614;Donkey Kong;Atari 2600;2,43;0,87;1,03;0,83
1615;Just Dance 4;XBox 360;2,39;1,39;1,27;1,68
1616;The Bachelor: The Videogame;Nintendo DS;0,11;2,65;2,41;2,78
1617;Intelligent Qube;PlayStation;1,13;2,59;0,2;2,62
1618;Disney's Donald Duck: Goin' Quackers;GameBoy Color;2,2;0,24;1,67;2,03
1619;Power Rangers: Dino Thunder;GameBoy Advance;2,78;2,65;2,46;2,62
1620;The BIGS;Nintendo Wii;1,57;2,45;2,89;1,7
1621;Harry Potter and the Sorcerer's Stone;GameBoy Color;2,08;0,02;1,91;1,99
1622;Street Fighter II Turbo;Super Nintendo;2,1;1,74;3,55;0,8
1623;Yu-Gi-Oh! Nightmare Troubadour (US sales);Nintendo DS;0,21;1,81;2,15;2,47
1624;ESPN MLB Baseball;XBox;2,84;2,32;1,93;0,1
1625;Madden NFL 99;PlayStation;1,03;2,28;0,17;2,09
1626;Call of Duty: World at War;Nintendo Wii;1,59;2,71;1,98;1,2
1627;DoDonPachi Saidaioujou;XBox 360;1,89;2,02;2,39;2,79
1628;Dragon Warrior I&II;GameBoy;2,64;0,01;2,66;0,31
1629;Mega Man X: Command Mission;GameBoy Color;2,55;0,1;1,77;1,96
1630;Deadpool;XBox One;0,2;2,61;2,09;2,42
1631;Cruis'n Exotica;Nintendo 64;3,94;3,49;3,52;2,52
1632;Classic NES Series: Dr. Mario;GameBoy Advance;2,52;2,43;1,33;1,44
1633;Diablo III;XBox 360;1,49;1,14;2,65;2,89
1634;Pokemon Red/Pokemon Blue;GameBoy;2,56;0,03;1,98;0,16
1635;Star Ocean 5: Integrity and Faithlessness;PlayStation 4;1,82;1,43;1,92;1,59
1636;M&M's Blast!;GameBoy Advance;1,89;1,56;2,32;1,67
